accession_number,cusip,name_of_issuer,value_usd_thousands,shares,shares_type,put_call
0525266626-25-000007,251692912,Inception,7785,1,SH,
8273532535-25-000001,251692912,Inception,7928,2,SH,
3714999293-25-000017,251692912,Inception,8932,5,SH,
2502431301-25-000015,251692912,Inception,12192,1,SH,
8248581025-25-000014,251692912,Inception,9745,2,SH,
1999338669-25-000008,251692912,Inception,8520,5,SH,
2262265126-25-000006,251692912,Inception,4977,2,SH,
6259869231-25-000005,251692912,Inception,3438,5,SH,
7083136192-25-000027,251692912,Inception,1369,1,SH,
7083136192-25-000027,507576790,The Departed,7445,1,SH,
9906726111-25-000021,507576790,The Departed,3956,4,SH,
3714999293-25-000017,507576790,The Departed,2994,3,SH,
4217837938-25-000009,507576790,The Departed,3008,5,SH,
5726397830-25-000013,507576790,The Departed,1341,1,SH,
4589811776-25-000029,628124487,Pulp Fiction,8037,2,SH,
9574298491-25-000034,628124487,Pulp Fiction,11136,1,SH,
0525266626-25-000007,628124487,Pulp Fiction,8932,1,SH,
2125318378-25-000024,628124487,Pulp Fiction,9468,3,SH,
6259869231-25-000005,628124487,Pulp Fiction,8640,3,SH,
4523643737-25-000018,628124487,Pulp Fiction,4532,3,SH,
6281243744-25-000023,628124487,Pulp Fiction,4581,2,SH,
3026064571-25-000012,628124487,Pulp Fiction,4344,3,SH,
7070487298-25-000004,628124487,Pulp Fiction,2199,1,SH,
8684426023-25-000010,050478916,Forrest Gump,11712,1,SH,
9574298491-25-000034,050478916,Forrest Gump,8883,1,SH,
2502431301-25-000015,050478916,Forrest Gump,8676,4,SH,
0637817078-25-000039,050478916,Forrest Gump,6740,1,SH,
4589811776-25-000029,050478916,Forrest Gump,4928,5,SH,
2125318378-25-000024,050478916,Forrest Gump,4332,2,SH,
3714999293-25-000017,050478916,Forrest Gump,4284,4,SH,
8248581025-25-000014,050478916,Forrest Gump,1610,4,SH,
3697639270-25-000016,813941396,The Revenant,6690,5,SH,
1999338669-25-000008,813941396,The Revenant,6708,5,SH,
2502431301-25-000015,813941396,The Revenant,4851,3,SH,
4046355014-25-000035,813941396,The Revenant,2498,2,SH,
9574298491-25-000034,813941396,The Revenant,1843,4,SH,
1029297506-25-000003,329245388,Black Swan,8772,4,SH,
0525266626-25-000007,329245388,Black Swan,6063,1,SH,
4217837938-25-000009,329245388,Black Swan,3176,4,SH,
8684426023-25-000010,329245388,Black Swan,2020,4,SH,
3697639270-25-000016,923649150,Gladiator,11208,4,SH,
4046355014-25-000035,923649150,Gladiator,7861,4,SH,
0094621658-25-000000,923649150,Gladiator,4836,3,SH,
0525266626-25-000007,923649150,Gladiator,9125,2,SH,
9574298491-25-000034,923649150,Gladiator,7356,1,SH,
3714999293-25-000017,923649150,Gladiator,6240,3,SH,
9906726111-25-000021,923649150,Gladiator,4216,5,SH,
9868593104-25-000036,923649150,Gladiator,2047,2,SH,
6281243744-25-000023,901988476,Interstellar,10130,3,SH,
8684426023-25-000010,901988476,Interstellar,7200,1,SH,
9574298491-25-000034,901988476,Interstellar,3087,3,SH,
9556618369-25-000033,901988476,Interstellar,2858,2,SH,
0094621658-25-000000,901988476,Interstellar,918,2,SH,
6259869231-25-000005,175138883,The Dark Knight,15400,2,SH,
0637817078-25-000039,175138883,The Dark Knight,9394,5,SH,
4507343014-25-000031,175138883,The Dark Knight,12252,4,SH,
7070487298-25-000004,175138883,The Dark Knight,6165,5,SH,
9574298491-25-000034,175138883,The Dark Knight,4844,3,SH,
1999338669-25-000008,175138883,The Dark Knight,4851,3,SH,
4046355014-25-000035,175138883,The Dark Knight,3394,5,SH,
7774346714-25-000030,175138883,The Dark Knight,1724,1,SH,
8248581025-25-000014,439677201,Once Upon a Time in Hollywood,9670,2,SH,
7070487298-25-000004,439677201,Once Upon a Time in Hollywood,8020,2,SH,
9906726111-25-000021,439677201,Once Upon a Time in Hollywood,2442,1,SH,
8273532535-25-000001,439677201,Once Upon a Time in Hollywood,4184,1,SH,
0882872236-25-000037,439677201,Once Upon a Time in Hollywood,1268,1,SH,
9906726111-25-000021,553180408,Joker,5480,4,SH,
7070487298-25-000004,553180408,Joker,3714,5,SH,
9595293407-25-000032,553180408,Joker,2140,5,SH,
2502431301-25-000015,553180408,Joker,1980,4,SH,
7774346714-25-000030,951625051,La La Land,7625,4,SH,
1013937505-25-000026,951625051,La La Land,6564,4,SH,
3026064571-25-000012,951625051,La La Land,2730,1,SH,
2262265126-25-000006,951625051,La La Land,1848,4,SH,
7083136192-25-000027,951625051,La La Land,1494,1,SH,
3026064571-25-000012,068172249,The Wolf of Wall Street,5875,3,SH,
9574298491-25-000034,068172249,The Wolf of Wall Street,6988,2,SH,
0221950621-25-000028,068172249,The Wolf of Wall Street,2862,4,SH,
1999338669-25-000008,068172249,The Wolf of Wall Street,3854,1,SH,
7083136192-25-000027,068172249,The Wolf of Wall Street,903,5,SH,
6259869231-25-000005,754857801,Mad Max Fury Road,7176,4,SH,
2502431301-25-000015,754857801,Mad Max Fury Road,3711,4,SH,
8684426023-25-000010,754857801,Mad Max Fury Road,1840,2,SH,
1013937505-25-000026,754857801,Mad Max Fury Road,1576,1,SH,
3697639270-25-000016,558860522,Dunkirk,8316,3,SH,
4589811776-25-000029,558860522,Dunkirk,7470,1,SH,
4523643737-25-000018,558860522,Dunkirk,9930,5,SH,
7083136192-25-000027,558860522,Dunkirk,3696,3,SH,
4046355014-25-000035,558860522,Dunkirk,2751,1,SH,
4507343014-25-000031,558860522,Dunkirk,3992,4,SH,
4217837938-25-000009,558860522,Dunkirk,1829,5,SH,
1029297506-25-000003,162250307,Oppenheimer,10090,1,SH,
9595293407-25-000032,162250307,Oppenheimer,8728,2,SH,
6259869231-25-000005,162250307,Oppenheimer,4878,1,SH,
5781760498-25-000011,162250307,Oppenheimer,3932,2,SH,
7070487298-25-000004,162250307,Oppenheimer,1985,5,SH,
0637817078-25-000039,802913648,Barbie,7828,5,SH,
6259869231-25-000005,802913648,Barbie,4341,3,SH,
1013937505-25-000026,802913648,Barbie,2436,3,SH,
0882872236-25-000037,802913648,Barbie,1288,3,SH,
1999338669-25-000008,923758465,Dune,14504,5,SH,
7292854061-25-000019,923758465,Dune,6024,1,SH,
4589811776-25-000029,923758465,Dune,9505,2,SH,
9539557463-25-000020,923758465,Dune,7344,3,SH,
7070487298-25-000004,923758465,Dune,3213,3,SH,
0094621658-25-000000,923758465,Dune,1880,2,SH,
0882872236-25-000037,923758465,Dune,1556,3,SH,
0221950621-25-000028,894983378,Dune Part Two,4080,5,SH,
9574298491-25-000034,894983378,Dune Part Two,5652,1,SH,
7292854061-25-000019,894983378,Dune Part Two,3225,3,SH,
0637817078-25-000039,894983378,Dune Part Two,2072,1,SH,
9556618369-25-000033,894983378,Dune Part Two,1933,2,SH,
4523643737-25-000018,178951904,No Country for Old Men,11010,4,SH,
4980832373-25-000038,178951904,No Country for Old Men,6570,1,SH,
5726397830-25-000013,178951904,No Country for Old Men,3956,4,SH,
9906726111-25-000021,178951904,No Country for Old Men,4098,1,SH,
0882872236-25-000037,178951904,No Country for Old Men,1614,3,SH,
3697639270-25-000016,178951904,No Country for Old Men,1067,3,SH,
0221950621-25-000028,285128873,The Grand Budapest Hotel,4770,2,SH,
4046355014-25-000035,285128873,The Grand Budapest Hotel,7668,1,SH,
7083136192-25-000027,285128873,The Grand Budapest Hotel,4668,5,SH,
0094621658-25-000000,285128873,The Grand Budapest Hotel,3862,2,SH,
0525266626-25-000007,285128873,The Grand Budapest Hotel,1680,2,SH,
7292854061-25-000019,612526640,Birdman,4920,2,SH,
6281243744-25-000023,612526640,Birdman,6495,1,SH,
6354417073-25-000002,612526640,Birdman,3048,5,SH,
7567453470-25-000022,612526640,Birdman,1632,5,SH,
4217837938-25-000009,570032413,Whiplash,19539,2,SH,
2502431301-25-000015,570032413,Whiplash,10768,2,SH,
8684426023-25-000010,570032413,Whiplash,7147,4,SH,
5781760498-25-000011,570032413,Whiplash,5274,4,SH,
1013937505-25-000026,570032413,Whiplash,6275,2,SH,
8273532535-25-000001,570032413,Whiplash,6968,3,SH,
9868593104-25-000036,570032413,Whiplash,4275,2,SH,
9906726111-25-000021,570032413,Whiplash,2512,1,SH,
4046355014-25-000035,570032413,Whiplash,2151,2,SH,
9906726111-25-000021,885353490,Arrival,15337,5,SH,
3714999293-25-000017,885353490,Arrival,8868,1,SH,
7070487298-25-000004,885353490,Arrival,5180,3,SH,
4980832373-25-000038,885353490,Arrival,4660,5,SH,
7567453470-25-000022,885353490,Arrival,4029,1,SH,
9595293407-25-000032,885353490,Arrival,2044,5,SH,
9300063721-25-000025,885353490,Arrival,1689,3,SH,
9539557463-25-000020,829767888,The Shape of Water,7227,5,SH,
7083136192-25-000027,829767888,The Shape of Water,15216,2,SH,
9595293407-25-000032,829767888,The Shape of Water,10815,4,SH,
0525266626-25-000007,829767888,The Shape of Water,5658,3,SH,
2125318378-25-000024,829767888,The Shape of Water,10380,3,SH,
3026064571-25-000012,829767888,The Shape of Water,8632,1,SH,
3697639270-25-000016,829767888,The Shape of Water,4245,5,SH,
6354417073-25-000002,829767888,The Shape of Water,2866,4,SH,
4980832373-25-000038,829767888,The Shape of Water,1468,4,SH,
4523643737-25-000018,955349186,Parasite Remake,17298,1,SH,
4046355014-25-000035,955349186,Parasite Remake,11376,3,SH,
1999338669-25-000008,955349186,Parasite Remake,8610,4,SH,
3026064571-25-000012,955349186,Parasite Remake,11922,5,SH,
1013937505-25-000026,955349186,Parasite Remake,10700,3,SH,
2125318378-25-000024,955349186,Parasite Remake,7008,4,SH,
5781760498-25-000011,955349186,Parasite Remake,5115,2,SH,
7292854061-25-000019,955349186,Parasite Remake,3692,4,SH,
9300063721-25-000025,955349186,Parasite Remake,1147,1,SH,
9595293407-25-000032,852799669,Knives Out,7242,2,SH,
9906726111-25-000021,852799669,Knives Out,4250,1,SH,
6259869231-25-000005,852799669,Knives Out,5204,4,SH,
2502431301-25-000015,852799669,Knives Out,6153,1,SH,
7292854061-25-000019,852799669,Knives Out,3464,4,SH,
8248581025-25-000014,852799669,Knives Out,2089,5,SH,
2125318378-25-000024,511643615,Marriage Story,10715,1,SH,
4507343014-25-000031,511643615,Marriage Story,4072,4,SH,
9300063721-25-000025,511643615,Marriage Story,3744,2,SH,
2502431301-25-000015,511643615,Marriage Story,3720,4,SH,
4217837938-25-000009,511643615,Marriage Story,902,5,SH,
0525266626-25-000007,586291421,Little Women,10095,3,SH,
4589811776-25-000029,586291421,Little Women,6824,5,SH,
1999338669-25-000008,586291421,Little Women,5499,4,SH,
9556618369-25-000033,586291421,Little Women,3844,4,SH,
4046355014-25-000035,586291421,Little Women,1125,4,SH,
