accession_number,cik,manager_name,city,state_or_country,zipcode,filing_date,submission_type,period_of_report
0094621658-25-000000,0094621658,Tom Hanks,LOS ANGELES,CA,10000,01-JAN-2025,FILM,31-DEC-2024
8273532535-25-000001,8273532535,Leonardo DiCaprio,NEW YORK,NY,10001,01-JAN-2025,FILM,31-DEC-2024
6354417073-25-000002,6354417073,Meryl Streep,LONDON,X0,10002,01-JAN-2025,FILM,31-DEC-2024
1029297506-25-000003,1029297506,Denzel Washington,SYDNEY,C3,10003,01-JAN-2025,FILM,31-DEC-2024
7070487298-25-000004,7070487298,Cate Blanchett,DUBLIN,L2,10004,01-JAN-2025,FILM,31-DEC-2024
6259869231-25-000005,6259869231,Brad Pitt,LOS ANGELES,CA,10005,01-JAN-2025,FILM,31-DEC-2024
2262265126-25-000006,2262265126,Scarlett Johansson,NEW YORK,NY,10006,01-JAN-2025,FILM,31-DEC-2024
0525266626-25-000007,0525266626,Morgan Freeman,LONDON,X0,10007,01-JAN-2025,FILM,31-DEC-2024
1999338669-25-000008,1999338669,Tom Cruise,SYDNEY,C3,10008,01-JAN-2025,FILM,31-DEC-2024
4217837938-25-000009,4217837938,Natalie Portman,DUBLIN,L2,10009,01-JAN-2025,FILM,31-DEC-2024
8684426023-25-000010,8684426023,Robert De Niro,LOS ANGELES,CA,10010,01-JAN-2025,FILM,31-DEC-2024
5781760498-25-000011,5781760498,Julia Roberts,NEW YORK,NY,10011,01-JAN-2025,FILM,31-DEC-2024
3026064571-25-000012,3026064571,Christian Bale,LONDON,X0,10012,01-JAN-2025,FILM,31-DEC-2024
5726397830-25-000013,5726397830,Anne Hathaway,SYDNEY,C3,10013,01-JAN-2025,FILM,31-DEC-2024
8248581025-25-000014,8248581025,Matt Damon,DUBLIN,L2,10014,01-JAN-2025,FILM,31-DEC-2024
2502431301-25-000015,2502431301,Charlize Theron,LOS ANGELES,CA,10015,01-JAN-2025,FILM,31-DEC-2024
3697639270-25-000016,3697639270,Joaquin Phoenix,NEW YORK,NY,10016,01-JAN-2025,FILM,31-DEC-2024
3714999293-25-000017,3714999293,Emma Stone,LONDON,X0,10017,01-JAN-2025,FILM,31-DEC-2024
4523643737-25-000018,4523643737,Ryan Gosling,SYDNEY,C3,10018,01-JAN-2025,FILM,31-DEC-2024
7292854061-25-000019,7292854061,Jennifer Lawrence,DUBLIN,L2,10019,01-JAN-2025,FILM,31-DEC-2024
9539557463-25-000020,9539557463,Samuel L Jackson,LOS ANGELES,CA,10020,01-JAN-2025,FILM,31-DEC-2024
9906726111-25-000021,9906726111,Viola Davis,NEW YORK,NY,10021,01-JAN-2025,FILM,31-DEC-2024
7567453470-25-000022,7567453470,Hugh Jackman,LONDON,X0,10022,01-JAN-2025,FILM,31-DEC-2024
6281243744-25-000023,6281243744,Amy Adams,SYDNEY,C3,10023,01-JAN-2025,FILM,31-DEC-2024
2125318378-25-000024,2125318378,Michael Fassbender,DUBLIN,L2,10024,01-JAN-2025,FILM,31-DEC-2024
9300063721-25-000025,9300063721,Jessica Chastain,LOS ANGELES,CA,10025,01-JAN-2025,FILM,31-DEC-2024
1013937505-25-000026,1013937505,Christoph Waltz,NEW YORK,NY,10026,01-JAN-2025,FILM,31-DEC-2024
7083136192-25-000027,7083136192,Saoirse Ronan,LONDON,X0,10027,01-JAN-2025,FILM,31-DEC-2024
0221950621-25-000028,0221950621,Mark Ruffalo,SYDNEY,C3,10028,01-JAN-2025,FILM,31-DEC-2024
4589811776-25-000029,4589811776,Margot Robbie,DUBLIN,L2,10029,01-JAN-2025,FILM,31-DEC-2024
7774346714-25-000030,7774346714,Gary Oldman,LOS ANGELES,CA,10030,01-JAN-2025,FILM,31-DEC-2024
4507343014-25-000031,4507343014,Frances McDormand,NEW YORK,NY,10031,01-JAN-2025,FILM,31-DEC-2024
9595293407-25-000032,9595293407,Idris Elba,LONDON,X0,10032,01-JAN-2025,FILM,31-DEC-2024
9556618369-25-000033,9556618369,Florence Pugh,SYDNEY,C3,10033,01-JAN-2025,FILM,31-DEC-2024
9574298491-25-000034,9574298491,Oscar Isaac,DUBLIN,L2,10034,01-JAN-2025,FILM,31-DEC-2024
4046355014-25-000035,4046355014,Tilda Swinton,LOS ANGELES,CA,10035,01-JAN-2025,FILM,31-DEC-2024
9868593104-25-000036,9868593104,Adam Driver,NEW YORK,NY,10036,01-JAN-2025,FILM,31-DEC-2024
0882872236-25-000037,0882872236,Lupita Nyongo,LONDON,X0,10037,01-JAN-2025,FILM,31-DEC-2024
4980832373-25-000038,4980832373,Timothee Chalamet,SYDNEY,C3,10038,01-JAN-2025,FILM,31-DEC-2024
0637817078-25-000039,0637817078,Zendaya,DUBLIN,L2,10039,01-JAN-2025,FILM,31-DEC-2024
