cusip,name_of_issuer,n_filer_managers,total_value_usd_thousands
251692912,Inception,9,64886
507576790,The Departed,5,18744
628124487,Pulp Fiction,9,61869
050478916,Forrest Gump,8,51165
813941396,The Revenant,5,22590
329245388,Black Swan,4,20031
923649150,Gladiator,8,52889
901988476,Interstellar,5,24193
175138883,The Dark Knight,8,58024
439677201,Once Upon a Time in Hollywood,5,25584
553180408,Joker,4,13314
951625051,La La Land,5,20261
068172249,The Wolf of Wall Street,5,20482
754857801,Mad Max Fury Road,4,14303
558860522,Dunkirk,7,37984
162250307,Oppenheimer,5,29613
802913648,Barbie,4,15893
923758465,Dune,7,44026
894983378,Dune Part Two,5,16962
178951904,No Country for Old Men,6,28315
285128873,The Grand Budapest Hotel,5,22648
612526640,Birdman,4,16095
570032413,Whiplash,9,64909
885353490,Arrival,7,41807
829767888,The Shape of Water,9,66507
955349186,Parasite Remake,9,76868
852799669,Knives Out,6,28402
511643615,Marriage Story,5,23153
586291421,Little Women,5,27387
069572554,Jojo Rabbit,7,39501
805447534,Ford v Ferrari,9,58902
798589136,1917,5,20567
653069068,Tenet,8,50070
023786649,The Irishman,5,18124
604024022,Bohemian Rhapsody,7,47947
633849576,A Star Is Born,9,70629
546328790,Green Book,7,45158
916241598,Roma Nights,5,18066
772712155,Vice,5,22846
369836009,The Favourite,6,26431
965458333,Three Billboards,6,23633
059665415,Phantom Thread,9,59399
852483232,Lady Bird,4,15202
065929422,Call Me By Your Name,6,29328
818940432,Manchester by the Sea,7,50217
205915401,Moonlight,4,18099
161855877,Hidden Figures,8,55071
626385495,Hacksaw Ridge,8,59334
715892381,Spotlight,7,47368
794627190,The Big Short,4,12758
612782015,The Martian,7,45894
469253933,Bridge of Spies,6,32556
887421781,Sicario,9,66852
370124639,Nightcrawler,4,16111
746657812,Gone Girl,8,54602
824241332,12 Years a Slave,7,47161
458111207,American Hustle,5,24234
147298981,Her,7,47733
888396685,Gravity,9,68425
699826757,Captain Phillips,4,14755
