cusip,name_of_issuer,n_filer_managers,total_value_usd_thousands
668969717,Deep Residual Learning,4,443052
707657942,Attention Is All You Need,2,31536
794941957,BERT Pretraining,5,369657
113479777,GANs,5,385100
121941943,ImageNet Classification,2,121200
275829947,AlphaGo,6,157782
704485426,Playing Atari with RL,6,779994
536288485,Word2Vec,5,361240
382589633,Sequence to Sequence Learning,5,497367
931210481,Dropout Regularization,2,96538
579804752,Batch Normalization,5,147510
725669401,Adam Optimizer,3,256550
557891316,GPT Language Models,4,526032
086800760,Scaling Laws for Neural LMs,5,290848
301396401,InstructGPT,6,193400
112314789,Constitutional AI,5,282660
673242206,Diffusion Models,6,493272
294216794,Vision Transformers,5,406782
960064711,CLIP,4,284928
117414937,Contrastive Learning,2,64821
845711503,Graph Neural Networks,3,224460
806993442,Variational Autoencoders,2,62062
505589847,Neural Turing Machines,3,30660
423725413,Memory Networks,2,27148
813610970,Pointer Networks,2,15950
521369627,Neural Machine Translation,4,327510
927075369,Transformer-XL,3,303039
660053568,XLNet,3,296760
962412320,RoBERTa,6,713388
753205636,T5 Text-to-Text,6,90246
690992842,ELECTRA,5,96579
658735577,DistilBERT,4,309624
328895045,ALBERT,5,555372
210088507,ELMo Contextual Embeddings,4,250496
066650887,FastText,3,193781
379358483,GloVe Embeddings,5,364734
569013098,Capsule Networks,2,36468
080665680,Wide ResNet,5,232594
642920295,DenseNet,6,267564
450551974,EfficientNet,5,213972
081209927,MobileNets,3,239472
651340881,SqueezeNet,4,108819
090613957,U-Net Segmentation,4,336224
186575413,Mask R-CNN,5,94656
000284721,Faster R-CNN,4,466526
734600624,YOLO Detection,4,82745
123147622,SSD Detection,6,58818
220178201,Feature Pyramid Networks,4,161777
761186945,Style Transfer,3,117895
200158461,CycleGAN,6,1063842
544021921,Progressive GANs,5,66300
048361273,StyleGAN,4,256564
065377265,BigGAN,6,278124
405765574,WaveNet Audio,4,144438
694111832,Tacotron Speech,4,378504
207507111,Deep Q-Networks,2,138300
611265606,Policy Gradients,5,156140
607726443,Proximal Policy Optimization,6,200412
673600830,Soft Actor-Critic,5,120988
949485180,Model-Agnostic Meta-Learning,6,561264
