accession_number,filing_manager,other_manager_cik,other_manager_name,other_form13f_filenumber
0001172661-25-005115,"PERSHING SQUARE HOLDCO, L.P.",0001336528,"Pershing Square Capital Management, L.P.",028-11694
0001167557-25-000065,AQR CAPITAL MANAGEMENT LLC,0001167456,AQR Arbitrage LLC,028-10114
0000902664-25-005042,"Point72 Asset Management, L.P.",0001698051,Point72 Europe (London) LLP,028-17887
0000902664-25-005042,"Point72 Asset Management, L.P.",0001666791,Point72 Asia (Singapore) Pte. Ltd.,028-17282
0000902664-25-005042,"Point72 Asset Management, L.P.",0002006887,"Point72 Italy, S.r.l.",028-23927
0000902664-25-005042,"Point72 Asset Management, L.P.",0001599822,Point72 Hong Kong Ltd,028-16027
0000902664-25-005042,"Point72 Asset Management, L.P.",0002017863,Point72 (DIFC) Ltd,028-24178
0000902664-25-005042,"Point72 Asset Management, L.P.",0001949771,Point72 Middle East FZE,028-23094
0000902664-25-005042,"Point72 Asset Management, L.P.",0001603465,"Cubist Systematic Strategies, LLC",028-16258
0001273087-25-000034,MILLENNIUM MANAGEMENT LLC,0001745981,WORLDQUANT MILLENNIUM ADVISORS LLC,028-18889
0000073124-25-000252,NORTHERN TRUST CORP,0000936753,"ARIEL INVESTMENTS, LLC",028-04003
0000073124-25-000252,NORTHERN TRUST CORP,0001109147,AXIOM INVESTORS LLC /DE,028-05615
0000073124-25-000252,NORTHERN TRUST CORP,0000912938,MASSACHUSETTS FINANCIAL SERVICES CO /MA/,028-04968
0000073124-25-000252,NORTHERN TRUST CORP,0001274173,JANUS HENDERSON GROUP PLC,028-10904
0000073124-25-000252,NORTHERN TRUST CORP,0001463879,KBI Global Investors (North America) Ltd,028-13513
0000073124-25-000252,NORTHERN TRUST CORP,0001348883,"Clearbridge Investments, LLC",028-11611
0000073124-25-000252,NORTHERN TRUST CORP,0001352662,"Grantham, Mayo, Van Otterloo & Co. LLC",028-11599
0000073124-25-000252,NORTHERN TRUST CORP,0001130787,EAGLE GLOBAL ADVISORS LLC,028-06213
0000073124-25-000252,NORTHERN TRUST CORP,0001375534,GENERATION INVESTMENT MANAGEMENT LLP,028-12114
0000073124-25-000252,NORTHERN TRUST CORP,0001600145,"Van Hulzen Asset Management, LLC",028-15895
0000073124-25-000252,NORTHERN TRUST CORP,0001027796,PZENA INVESTMENT MANAGEMENT LLC,028-03791
0000073124-25-000252,NORTHERN TRUST CORP,0001088875,BAILLIE GIFFORD & CO,028-04825
0000073124-25-000252,NORTHERN TRUST CORP,0001315868,Burgundy Asset Management Ltd.,028-11129
0000073124-25-000252,NORTHERN TRUST CORP,0001465109,Neuberger Berman Group LLC,028-13573
0000073124-25-000252,NORTHERN TRUST CORP,0001644956,"WILLIAM BLAIR INVESTMENT MANAGEMENT, LLC",028-17022
0000073124-25-000252,NORTHERN TRUST CORP,0000938206,DRIEHAUS CAPITAL MANAGEMENT LLC,028-04207
0000073124-25-000252,NORTHERN TRUST CORP,0001112325,RIVERBRIDGE PARTNERS LLC,028-05655
0000073124-25-000252,NORTHERN TRUST CORP,0001424467,"Lisanti Capital Growth, LLC",028-12654
0000073124-25-000252,NORTHERN TRUST CORP,0000932859,PARAMETRIC PORTFOLIO ASSOCIATES LLC,028-04558
0000073124-25-000252,NORTHERN TRUST CORP,0000052388,AMERICAN CENTURY INVESTMENT MANAGEMENT INC,028-01091
0000073124-25-000252,NORTHERN TRUST CORP,0001513287,Colonial First State Investments Ltd,028-14421
0000073124-25-000252,NORTHERN TRUST CORP,0001164833,HOTCHKIS & WILEY CAPITAL MANAGEMENT LLC,028-10068
0000073124-25-000252,NORTHERN TRUST CORP,0001730467,CLIFFORD CAPITAL PARTNERS LLC,028-18460
0000073124-25-000252,NORTHERN TRUST CORP,0001857666,"Capital Group Private Client Services, Inc.",028-21408
0000073124-25-000252,NORTHERN TRUST CORP,0001350585,"Coho Partners, Ltd.",028-11563
0000073124-25-000252,NORTHERN TRUST CORP,0001943239,V-Square Quantitative Management LLC,028-23188
0000073124-25-000252,NORTHERN TRUST CORP,0001050470,LSV ASSET MANAGEMENT,028-06580
0000073124-25-000252,NORTHERN TRUST CORP,0001050477,SNYDER CAPITAL MANAGEMENT L P,028-06636
0000073124-25-000252,NORTHERN TRUST CORP,0001414702,Haven Global Partners LP,
0000073124-25-000252,NORTHERN TRUST CORP,0001507115,"Madison Investment Advisors, LLC",028-14137
0000073124-25-000252,NORTHERN TRUST CORP,0001541743,"Copeland Capital Management, LLC",028-14668
0000073124-25-000252,NORTHERN TRUST CORP,0000053417,JENNISON ASSOCIATES LLC,028-00074
0000073124-25-000252,NORTHERN TRUST CORP,0001908619,"Promethos Capital, LLC",028-24042
0000073124-25-000252,NORTHERN TRUST CORP,0000937729,FAYEZ SAROFIM & CO,028-10991
0000073124-25-000252,NORTHERN TRUST CORP,0000315066,FMR LLC,028-00451
0000073124-25-000252,NORTHERN TRUST CORP,0000845563,COHEN & STEERS CAPITAL MANAGEMENT INC,028-02405
0000073124-25-000252,NORTHERN TRUST CORP,0001109448,ALLIANCEBERNSTEIN L.P.,028-10562
0000073124-25-000252,NORTHERN TRUST CORP,0001594916,"Metis Global Partners, LLC",028-21796
0000073124-25-000252,NORTHERN TRUST CORP,0001197921,KELLOGG W K FOUNDATION TRUST,028-15333
0000073124-25-000252,NORTHERN TRUST CORP,0001513216,First Sentier Investors (Australia) IM Ltd,028-14423
0000073124-25-000252,NORTHERN TRUST CORP,0001207017,LAZARD ASSET MANAGEMENT LLC,028-10469
0000073124-25-000252,NORTHERN TRUST CORP,0001165797,CAUSEWAY CAPITAL MANAGEMENT LLC,028-11728
0000073124-25-000252,NORTHERN TRUST CORP,0000902219,WELLINGTON MANAGEMENT GROUP LLP,028-04557
0000073124-25-000252,NORTHERN TRUST CORP,0000860644,"Aristotle Capital Management, LLC",028-02634
0000073124-25-000252,NORTHERN TRUST CORP,0001040188,VICTORY CAPITAL MANAGEMENT INC,028-06354
0000073124-25-000252,NORTHERN TRUST CORP,0001356513,"Westwood Global Investments, LLC",028-11863
0000073124-25-000252,NORTHERN TRUST CORP,0001061186,"WCM INVESTMENT MANAGEMENT, LLC",028-07104
0000073124-25-000252,NORTHERN TRUST CORP,0000884414,"JACOBS LEVY EQUITY MANAGEMENT, INC",028-03059
0000895421-25-000593,MORGAN STANLEY,0002026079,Morgan Stanley Institutional Investment Advisors LLC,028-24289
0001193125-25-282311,"UBS AM, A DISTINCT BUSINESS UNIT OF UBS ASSET MANAGEMENT AMERICAS LLC",,ARGA INVESTMENT MANAGEMENT LP,028-15430
0001193125-25-282311,"UBS AM, A DISTINCT BUSINESS UNIT OF UBS ASSET MANAGEMENT AMERICAS LLC",,WELLINGTON MANAGEMENT CO.,028-16899
0001193125-25-282311,"UBS AM, A DISTINCT BUSINESS UNIT OF UBS ASSET MANAGEMENT AMERICAS LLC",,MASSACHUSETTS FINANCIAL SERVICES CO.,028-04968
0001193125-25-282311,"UBS AM, A DISTINCT BUSINESS UNIT OF UBS ASSET MANAGEMENT AMERICAS LLC",,ARTISAN PARTNERS LIMITED PARTNERSHIP,028-13578
0001193125-25-282311,"UBS AM, A DISTINCT BUSINESS UNIT OF UBS ASSET MANAGEMENT AMERICAS LLC",,GQG PARTNERS LLC,028-17876
