accession_number,cik,manager_name,city,state_or_country,zipcode,filing_date,submission_type,period_of_report
0000019617-25-001093,0000019617,JPMORGAN CHASE & CO,NEW YORK,NY,10017,26-NOV-2025,13F-HR/A,30-SEP-2025
0001013594-25-001443,0001791786,Elliott Investment Management L.P.,West Palm Beach,FL,33401,14-NOV-2025,13F-HR/A,30-JUN-2025
0001013594-25-001440,0001791786,Elliott Investment Management L.P.,WEST PALM BEACH,FL,33401,14-NOV-2025,13F-HR,30-SEP-2025
0001172661-25-005115,0002026053,"PERSHING SQUARE HOLDCO, L.P.",New York,NY,10019,14-NOV-2025,13F-HR,30-SEP-2025
0001167557-25-000065,0001167557,AQR CAPITAL MANAGEMENT LLC,Greenwich,CT,06830,14-NOV-2025,13F-HR,30-SEP-2025
0000886982-25-001521,0000886982,GOLDMAN SACHS GROUP INC,NEW YORK,NY,10282,14-NOV-2025,13F-HR,30-SEP-2025
0000902664-25-005053,0001666791,Point72 Asia (Singapore) Pte. Ltd.,Singapore,U0,049321,14-NOV-2025,13F-HR,30-SEP-2025
0000902664-25-005050,0002017863,Point72 (DIFC) Ltd,Dubai,C0,00000,14-NOV-2025,13F-HR,30-SEP-2025
0000902664-25-005049,0001698051,Point72 Europe (London) LLP,LONDON,X0,SW1Y 4JU,14-NOV-2025,13F-HR,30-SEP-2025
0000902664-25-005044,0001029160,SOROS FUND MANAGEMENT LLC,NEW YORK,NY,10019,14-NOV-2025,13F-HR,30-SEP-2025
0000902664-25-005042,0001603466,"Point72 Asset Management, L.P.",Stamford,CT,06902,14-NOV-2025,13F-HR,30-SEP-2025
0000902664-25-005040,0001599822,Point72 Hong Kong Ltd,Hong Kong,K3,00000,14-NOV-2025,13F-HR,30-SEP-2025
0001040273-25-000003,0001040273,Third Point LLC,NEW YORK,NY,10001,14-NOV-2025,13F-HR,30-SEP-2025
0000902664-25-005035,0002006887,"Point72 Italy, S.r.l.",MILAN,L6,20149,14-NOV-2025,13F-HR,30-SEP-2025
0000902664-25-005027,0001949771,Point72 Middle East FZE,DUBAI,C0,00000,14-NOV-2025,13F-HR,30-SEP-2025
0001104659-25-112514,0001423053,CITADEL ADVISORS LLC,MIAMI,FL,33131,14-NOV-2025,13F-HR,30-SEP-2025
0001172661-25-005039,0001336528,"Pershing Square Capital Management, L.P.",New York,NY,10019,14-NOV-2025,13F-HR,30-SEP-2025
0001539497-25-002973,0000921669,ICAHN CARL C,SUNNY ISLES BEACH,FL,33160,14-NOV-2025,13F-HR,30-SEP-2025
0001193125-25-282901,0001067983,Berkshire Hathaway Inc,Omaha,NE,68131,14-NOV-2025,13F-HR,30-SEP-2025
0001273087-25-000034,0001273087,MILLENNIUM MANAGEMENT LLC,NEW YORK,NY,10022,14-NOV-2025,13F-HR,30-SEP-2025
0001536630-25-000007,0001536630,Potrero Capital Research LLC,SAN FRANCISCO,CA,94104,14-NOV-2025,13F-HR,30-SEP-2025
0000919574-25-006976,0001135730,COATUE MANAGEMENT LLC,New York,NY,10019,14-NOV-2025,13F-HR,30-SEP-2025
0000073124-25-000252,0000073124,NORTHERN TRUST CORP,CHICAGO,IL,60603,14-NOV-2025,13F-HR,30-SEP-2025
0000919574-25-006931,0001167483,TIGER GLOBAL MANAGEMENT LLC,New York,NY,10019,14-NOV-2025,13F-HR,30-SEP-2025
0000895421-25-000593,0000895421,MORGAN STANLEY,NEW YORK,NY,10036,14-NOV-2025,13F-HR,30-SEP-2025
0000070858-25-000440,0000070858,BANK OF AMERICA CORP /DE/,CHARLOTTE,NC,28255,14-NOV-2025,13F-HR,30-SEP-2025
0001193125-25-282311,0000861177,"UBS AM, A DISTINCT BUSINESS UNIT OF UBS ASSET MANAGEMENT AMERICAS LLC",CHICAGO,IL,60606,14-NOV-2025,13F-HR,30-SEP-2025
0001897612-25-000511,0001897612,"T. Rowe Price Investment Management, Inc.",BALTIMORE,MD,21231,14-NOV-2025,13F-HR,30-SEP-2025
0001132716-25-000036,0001132716,"OCONNOR, A Distinct Business Unit of UBS ASSET MANAGEMENT AMERICAS (LLC)",CHICAGO,IL,60606,14-NOV-2025,13F-HR/A,30-SEP-2024
0001132716-25-000035,0001132716,"OCONNOR, A Distinct Business Unit of UBS ASSET MANAGEMENT AMERICAS (LLC)",CHICAGO,IL,60606,14-NOV-2025,13F-HR/A,31-DEC-2024
0001132716-25-000034,0001132716,"OCONNOR, A Distinct Business Unit of UBS ASSET MANAGEMENT AMERICAS (LLC)",CHICAGO,IL,60606,14-NOV-2025,13F-HR/A,31-MAR-2025
0001132716-25-000033,0001132716,"OCONNOR, A Distinct Business Unit of UBS ASSET MANAGEMENT AMERICAS (LLC)",CHICAGO,IL,60606,14-NOV-2025,13F-HR/A,30-JUN-2025
0001132716-25-000032,0001132716,"OCONNOR, A Distinct Business Unit of UBS ASSET MANAGEMENT AMERICAS (LLC)",CHICAGO,IL,60606,14-NOV-2025,13F-HR,30-SEP-2025
0000899140-25-001288,0001450144,"TWO SIGMA SECURITIES, LLC",NEW YORK,NY,10013,14-NOV-2025,13F-HR,30-SEP-2025
0000899140-25-001286,0001179392,"TWO SIGMA INVESTMENTS, LP",NEW YORK,NY,10013,14-NOV-2025,13F-HR,30-SEP-2025
0000899140-25-001279,0001478735,"TWO SIGMA ADVISERS, LP",NEW YORK,NY,10013,14-NOV-2025,13F-HR,30-SEP-2025
0000093751-25-000651,0000093751,STATE STREET CORP,BOSTON,MA,02114,14-NOV-2025,13F-HR,30-SEP-2025
0000902219-25-000462,0000902219,WELLINGTON MANAGEMENT GROUP LLP,Boston,MA,02210,14-NOV-2025,13F-HR,30-SEP-2025
0000870481-25-000004,0000870481,INVESCO SENIOR SECURED MANAGEMENT INC /ADV,NEW YORK,NY,10281,14-NOV-2025,13F-HR,30-SEP-2025
0001172661-25-004777,0001350694,"Bridgewater Associates, LP",Westport,CT,06880,13-NOV-2025,13F-HR,30-SEP-2025
0002026079-25-000005,0002026079,Morgan Stanley Institutional Investment Advisors LLC,GREENWOOD VILLAGE,CO,80111,13-NOV-2025,13F-HR,30-SEP-2025
0001193125-25-280187,0000200217,Dodge & Cox,San Francisco,CA,94104,13-NOV-2025,13F-HR,30-SEP-2025
0000914208-25-000430,0000914208,Invesco Ltd.,Atlanta,GA,30309,13-NOV-2025,13F-HR,30-SEP-2025
0000072971-25-000256,0000072971,WELLS FARGO & COMPANY/MN,SAN FRANCISCO,CA,94105,13-NOV-2025,13F-HR,30-SEP-2025
